SEROTYPE	ORGANISM	SEROGROUP	SUBSPECIES	O_ANTIGENS	H_PHASE_1	H_PHASE_2	X997_CHECK	FATE
Salmonella Irumu	sal	C1,4		6,7	l,v	1,5		
Salmonella Isangi	sal	C1,4		6,7,.14.	d	1,6		
Salmonella Isaszeg	sal	Y		48	z10	e,n,x		
Salmonella Islington (old serotype)	sal	E1	II	3,10	g,t	-	o	
Salmonella Israel	sal	D1		9,12	e,h	e,n,z15		
Salmonella Istanbul	sal	C2,3		8	z10	e,n,x		
Salmonella Istoria	sal	H		1,6,14,25	r,i	1,5		
Salmonella Isuge	sal	G1,2		13,23	d	z6		
Salmonella Italiana (old serotype)	sal	D1		9,12	l,v	R1	o	Panama
Salmonella Itami	sal	D1		9,12	l,z13	1,5		
Salmonella Ituri	sal	B		.1.,4,12	z10	1,5		
Salmonella Itutaba	sal	D2		9,46	c	z6		
Salmonella Ivory	sal	I		16	r	1,6		
Salmonella Ivorycoast	sal	Z		50	z29	-		
Salmonella Iwojima (old serotype)	sal	C2,3					o	Kentucky
Salmonella Jacksonville (old serotype)	sal	I	II	16	z29	e,n,x	o	
Salmonella Jaffna	sal	D1		.1.,9,12	d	z35		
Salmonella Jaja (old serotype)	sal	no					o	Stanleyville var. 27+
Salmonella Jalisco	sal	F		11	y	1,7		
Salmonella Jamaica	sal	D1		9,12	r	1,5		
Salmonella Jambur	sal	L		21	l,z28	e,n,z15		
Salmonella Jangwani	sal	J		17	a	1,5		
Salmonella Java (old serotype)	sal	B		.1.,4,[5],12	b	1,2	o	
Salmonella Javiana	sal	D1		.1.,9,12	l,z28	1,5		
Salmonella Jedburgh	sal	E1		3,10	z29	-		
Salmonella Jericho	sal	B		.1.,4,12,.27.	c	e,n,z15		
Salmonella Jerusalem	sal	C1,4		6,7,.14.	z10	l,w		
Salmonella Joal	sal	E1		3,10	l,z28	1,7		
Salmonella Jodhpur	sal	W		45	z29	-		
Salmonella Joenkoeping (old serotype)	sal	no					o	Kingston
Salmonella Johannesburg	sal	R		.1.,40	b	e,n,x		
Salmonella Jos	sal	B		.1.,4,12,.27.	y	e,n,z15		
Salmonella Juba	sal	E4		1,3,19	a	1,7		
Salmonella Jubilee	sal	J		17	e,h	1,2		
Salmonella Jukestown	sal	G1,2		13,23	i	e,n,z15		
Salmonella Kaapstad	sal	B		4,12	e,h	1,7		
Salmonella Kabete	sal	51		51	I	1,5		
Salmonella Kaduna	sal	C1,4		6,7,.14.	c	e,n,z15		
Salmonella Kahla	sal	T		.1.,42	z35	1,6		
Salmonella Kainji	sal	E4		1,3,19	z	1,6		
Salmonella Kaitaan	sal	H		1,6,14,25	m,t	-		
Salmonella Kalamu	sal	B		4,[5],12	z4,24	[1,5]		
Salmonella Kalina	sal	E1		3,10	b	1,2		
Salmonella Kallo	sal	C2,3		6,8	k	1,2		
Salmonella Kaltenhausen (old serotype)	sal	M	II	28	b	z6	o	
Salmonella Kalumburu	sal	C2,3		6,8	z	e,n,z15		
Salmonella Kambole	sal	C1,4		6,7	d	1,[2],7		
Salmonella Kamoru	sal	B		4,12,.27.	y	z6		
Salmonella Kampala	sal	T		.1.,42	c	z6		
Salmonella Kanda (old serotype)	sal	E1					o	Meleagridis
Salmonella Kande	sal	E4		1,3,19	b	e,n,z15		
Salmonella Kandla	sal	J		17	z29	-		
Salmonella Kaneshie	sal	T		.1.,42	i	l,w		
Salmonella Kanifing	sal	H		1,6,14,25	z	1,6		
Salmonella Kano	sal	B		.1.,4,12,.27.	l,z13,z28	e,n,x		
Salmonella Kaolack	sal	X		47	z	1,6		
Salmonella Kapemba	sal	D1		9,12	l,v	1,7		
Salmonella Kaposvar (old serotype)	sal	B					o	Reading
Salmonella Karachi	sal	W		45	d	e,n,x		
Salmonella Karamoja	sal	R		.1.,40	z41	1,2		
Salmonella Karaya	sal	51		51	b	1,5		
Salmonella Karlshamn	sal	J		17	d	e,n,z15		
Salmonella Kasenyi	sal	P		38	e,h	1,5		
Salmonella Kassberg	sal	H		1,6,14,25	c	1,6		
Salmonella Katesgrove (old serotype)	sal	G1,2	II	.1.,13,23	m,t	1,5	o	
Salmonella Kedougou	sal	G1,2		.1.,13,23	i	l,w		
Salmonella Kentucky	sal	C2,3		8,.20.	i	z6		
Salmonella Kentucky var. Jerusalem	sal	C2,3					??	
Salmonella Kenya	sal	C1,4		6,7	l,z13	e,n,x		
Salmonella Kermel	sal	V		44	d	e,n,x		
Salmonella Keve	sal	L		21	l,w	-		
Salmonella Khami (old serotype)	sal	X	II	47	b	e,n,x,z15	o	
Salmonella Khartoum (old serotype)	sal	E3		3,.15.,.34.	a	1,7	o	
Salmonella Kiambu	sal	B		4,12	z	1,5		
Salmonella Kibi	sal	I		16	z4,z23	-		
Salmonella Kibusi	sal	M		28	r	e,n,x		
Salmonella Kidderminster	sal	P		38	c	1,6		
Salmonella Kiel	sal	A		.1.,2,12	g,p	-		
Salmonella Kikoma	sal	I		16	y	e,n,x		
Salmonella Kilwa (old serotype)	sal	B	II	4,12	l,w	e,n,x	o	
Salmonella Kimberley	sal	P		38	l,v	1,5		
Salmonella Kimpese	sal	D1		9,12	z	1,6		
Salmonella Kimuenza	sal	B		.1.,4,.12,.27.	l,v	e,n,x		
Salmonella Kindia	sal	E4		1,3,19	l,z28	e,n,x		
Salmonella Kingabwa	sal	U		43	y	1,5		
Salmonella Kingston	sal	B		.1.,4,[5],12,.27.	g,s,t	[1,2]		
Salmonella Kinondoni	sal	J		17	a	e,n,x		
Salmonella Kinshasa (old serotype)	sal	E2		3,.15.	l,z13	1,5	o	
Salmonella Kinson	sal	E4		1,3,19	y	e,n,x		
Salmonella Kintambo	sal	G1,2		.1.,13,23	m,t	-		
Salmonella Kirkee	sal	J		17	b	1,2		
Salmonella Kisangani	sal	B		.1.,4,[5],12	a	1,2		
Salmonella Kisarawe	sal	F		11	k	e,n,x,[z15]		
Salmonella Kisii	sal	C1,4		6,7	d	1,2		
Salmonella Kitenge	sal	M		28	y	e,n,x		
Salmonella Kivu	sal	C1,4		6,7	d	1,6		
Salmonella Klapmuts (old serotype)	sal	W	II	45	z	z39	o	
Salmonella Klouto	sal	P		38	z38	-		
Salmonella Kluetjenfelde (old serotype)	sal	B	II	4,12	d	e,n,x	o	
Salmonella Kodjovi	sal	X		47	c	-		
Salmonella Koenigstuhl	sal	B		.1.,4,[5],12	z	e,n,z15		
Salmonella Koessen	sal	A		2,12	l,v	1,5		
Salmonella Kofandoka	sal	W		45	r	e,n,z15		
Salmonella Koketime	sal	V		44	z38	-		
Salmonella Kokoli	sal	N		30	z35	1,6		
Salmonella Kokomlemle	sal	Q		39	l,v	e,n,x		
Salmonella Kolar	sal	D2		9,46	b	z35		
Salmonella Kolda	sal	C2,3		8,.20.	z35	1,2		
Salmonella Kommetje (old serotype)	sal	U	II	43	b	z42	o	
Salmonella Konolfingen	sal	M		28	z35	1,6		
Salmonella Konstanz	sal	C2,3		8	b	e,n,x		
Salmonella Korbol	sal	C2,3		8,.20.	b	1,5		
Salmonella Korlebu	sal	E4		1,3,19	z	1,5		
Salmonella Korovi	sal	P		38	g,m,[s]	-		
Salmonella Kortrijk	sal	C1,4		6,7	l,v	1,7		
Salmonella Kottbus	sal	C2,3		6,8	e,h	1,5		
Salmonella Kotte	sal	C1,4		6,7	b	z35		
Salmonella Kotu	sal	D1		9,12	l,z28	1,6		
Salmonella Kouka	sal	E4		1,3,19	g,m,[t]	-		
Salmonella Koumra	sal	C1,4		6,7	b	1,7		
Salmonella Kpeme	sal	M		28	e,h	1,7		
Salmonella Kraaifontein (old serotype)	sal	G1,2	II	.1.,13,23	g,m,[s],t	[e,n,x]	o	
Salmonella Kralendyk (old serotype)	sal	C1,4	IV	6,7	z4,z24	-	o	
Salmonella Kraligen	sal	C2,3		8,.20.	y	z6		
Salmonella Krefeld	sal	E4		1,3,19	y	l,w		
Salmonella Kristianstad	sal	E1		3,10	z10	e,n,z15		
Salmonella Krugersdorp (old serotype)	sal	Z	II	50	e,n,x	1,7	o	
Salmonella Kua	sal	V		44	z4,z23	-		
Salmonella Kubacha	sal	B		.1.,4,12,.27.	l,z13,z28	1,7		
Salmonella Kuessel	sal	M		28	i	e,n,z15		
Salmonella Kuilsrivier (old serotype)	sal	D1	II	.1.,9,12	g,m,s,t	e,n,x	o	
Salmonella Kumasi	sal	N		30	z10	e,n,z15		
Salmonella Kunduchi	sal	B		.1.,4,[5],12,.27.	l,[z13],[z28]	1,2		
Salmonella Kuntair	sal	H		1,6,14,25	b	1,5		
Salmonella Kuru	sal	C2,3		6,8	z	l,w		
Salmonella Labadi	sal	C2,3		8,.20.	d	z6		
Salmonella Lagos	sal	B		.1.,4,[5],12	i	1,5		
Salmonella Lamberhurst	sal	E1		3,10	e,h	e,n,z15		
Salmonella Lamin	sal	E1		3,10	l,z28	e,n,x		
Salmonella Lancaster	sal	J		17	l,v	1,7		
Salmonella Landala	sal	S		41	z10	1,6		
Salmonella Landau	sal	N		30	i	1,2		
Salmonella Landwasser	sal	E1		3,10	z	z6		
Salmonella Langenhorn	sal	K		18	m,t	-		
Salmonella Langensalza	sal	E1		3,10	y	l,w		
Salmonella Langford	sal	M		28	b	e,n,z15		
Salmonella Lanka (old serotype)	sal	E2		3,.15.	r	z6	o	
Salmonella Lansing	sal	P		38	i	1,5		
Salmonella Laredo	sal	H		1,6,14,25	z10	1,6		
Salmonella Larochelle	sal	C1,4		6,7	e,h	1,2		
Salmonella Lattenkamp	sal	W		45	z35	1,5		
Salmonella Lawndale	sal	D1		.1.,9,12	z	1,5		
Salmonella Lawra	sal	V		44	k	e,n,z15		
Salmonella Leatherhead	sal	S		41	m,t	1,6		
Salmonella Lechler	sal	51		51	z	e,n,z15		
Salmonella Leda	sal	53		53	-	1,6		
Salmonella Leer	sal	K		18	z10	1,5		
Salmonella Leeuwarden	sal	F		11	b	1,5		
Salmonella Legon	sal	B		.1.,4,12,.27.	c	1,5		
Salmonella Leiden	sal	G1,2		13,22	z38	-		
Salmonella Leipzig	sal	S		41	z10	1,5		
Salmonella Leith	sal	C2,3		6,8	a	e,n,z15		
Salmonella Lekke	sal	E1		3,10	d	1,6		
Salmonella Lene	sal	F		11	z38	-		
Salmonella Leoben	sal	M		28	l,v	1,5		
Salmonella Leopoldville	sal	C1,4		6,7,.14.	b	z6		
Salmonella Lerum	sal	E4		1,3,19	z	1,7		
Salmonella Lethe (old serotype)	sal	S	II	41	g,t	-	o	
Salmonella Lexington	sal	E1		3,10	z10	1,5		
Salmonella Lezennes	sal	C2,3		6,8	z4,z23	1,7		
Salmonella Libreville	sal	M		28	z10	1,6		
Salmonella Lichtenberg (old serotype)	sal	S	II	41	z10	z6	o	
Salmonella Ligeo	sal	N		30	l,v	1,2		
Salmonella Ligna	sal	O		35	z10	z6		
Salmonella Lika	sal	C1,4		6,7	i	1,7		
Salmonella Lille	sal	C1,4		6,7	z38	-		
Salmonella Limbe (old serotype)	sal	G1,2	II	.1.,13,22	g,m,t	[1,5]	o	
Salmonella Limete	sal	B		.1.,4,12,.27.	b	1,5		
Salmonella Lincoln (old serotype)	sal	F	II	11	m,t	e,n,x	o	
Salmonella Lindenburg	sal	C2,3		6,8	i	1,2		
Salmonella Lindern	sal	H		6,14,[24]	d	e,n,x		
Salmonella Lindi	sal	P		38	r	1,5		
Salmonella Lindrick (old serotype)	sal	D1	II	9,12	e,n,x	1,[5],7	o	
Salmonella Linguere	sal	D2		9,46	b	z6		
Salmonella Lingwala	sal	I		16	z	1,7		
Salmonella Linton	sal	G1,2		13,23	r	e,n,z15		
Salmonella Lisboa	sal	I		16	z10	1,6		
Salmonella Lishabi	sal	D2		9,46	z10	1,7		
Salmonella Litchfield	sal	C2,3		6,8	l,v	1,2		
Salmonella Liverpool	sal	E4		1,3,19	d	e,n,z15		
Salmonella Livingstone	sal	C1,4		6,7	d	l,w		
Salmonella Livulu	sal	N		30	e,h	1,2		
Salmonella Ljubljana	sal	B		4,12,.27.	k	e,n,x		
Salmonella Llandoff	sal	E4		1,3,19	z29	[z6]		
Salmonella Llandudno (old serotype)	sal	M	II	28	g,(m),[s],t	1,5	o	
Salmonella Llobregat	sal	V		.1.,44	z10	e,n,x		
Salmonella Loanda	sal	C2,3		6,8	l,v	1,5		
Salmonella Lobatsi (old serotype)	sal	52	II	52	z44	1,5,7	o	
Salmonella Locarno (old serotype)	sal	57	II	57	z29	z42	o	
Salmonella Lockleaze	sal	C1,4		6,7,.14.	b	e,n,x		
Salmonella Lode	sal	J		17	r	1,2		
Salmonella Lodz	sal	S		41	z29	-		
Salmonella Loenga	sal	T		.1.,42	z10	z6		
Salmonella Logone	sal	Q		39	d	1,5		
Salmonella Lohbruegge (old serotype)	sal	V	IV	.1.,44	z4,z32	-	o	
Salmonella Lokstedt	sal	E4		1,3,19	l,z13,z28	1,2		
Salmonella Lomalinda	sal	D1		.1.,9,12	a	e,n,x		
Salmonella Lome	sal	D1		9,12	r	z6		
Salmonella Lomita	sal	C1,4		6,7	e,h	1,5		
Salmonella Lomnava	sal	I		16	l,w	e,n,z15		
Salmonella London	sal	E1		3,10	l,v	1,6		
Salmonella Losangeles	sal	I		16	l,v	z6		
Salmonella Loubomo	sal	B		4,12	z	1,5		
Salmonella Louga	sal	N		30	b	1,2		
Salmonella Louisiana	sal	D2		9,46	z10	z6		
Salmonella Louwbester (old serotype)	sal	I	II	16	z	e,n,x	o	
Salmonella Lovelace	sal	G1,2		13,22	l,v	1,5		
Salmonella Lowestoft	sal	J		17	g,s,t	-		
Salmonella Luanshya (old serotype)	sal	G1,2	II	.1.,13,23	g,m,[s],t	[e,n,x]	o	
Salmonella Lubumbashi	sal	S		41	r	1,5		
Salmonella Luciana	sal	F		11	a	e,n,z15		
Salmonella Luckenwalde	sal	M		28	z10	e,n,z15		
Salmonella Luedinghausen	sal	J		17	c	1,5		
Salmonella Luke	sal	X		.1.,47	g,m	-		
Salmonella Lundby (old serotype)	sal	D2	II	9,46	b	e,n,x	o	
Salmonella Lurup (old serotype)	sal	S	II	41	z10	e,n,x,z15	o	
Salmonella Lutetia	sal	51		51	r,i	l,z13,z28		
Salmonella Luton (old serotype)	sal	60	II	60	z	e,n,x	o	
Salmonella Lyon	sal	X		47	k	e,n,z15		
Salmonella Maarsen (old serotype)	sal	D2	II	9,46	z4,z24	z39:z42	o	
Salmonella Maastricht	sal	F		11	z41	1,2		
Salmonella Macallen	sal	E1		3,10	z36	-		
Salmonella Macclesfield	sal	D2		9,46	g,m,s	1,2,7		
Salmonella Machaga	sal	E4		1,3,19	i	e,n,x		
Salmonella Madelia	sal	H		1,6,14,25	y	1,7		
Salmonella Madiago	sal	E4		1,3,19	c	1,7		
Salmonella Madigan	sal	V		44	c	1,5		
Salmonella Madison	sal	L		21	d	z6		
Salmonella Madjorio	sal	E1		3,10	d	e,n,z15		
Salmonella Madras	sal	B		4,[5],12	m,t	e,n,z15		
Salmonella Magherafelt	sal	C2,3		8,.20.	i	l,w		
Salmonella Magumeri	sal	H		1,6,14,25	e,h	1,6		
Salmonella Magwa	sal	L		21	d	e,n,x		
Salmonella Mahina	sal	D2		9,46	z10	e,n,z15		
Salmonella Maiduguri	sal	E4		1,3,19	f,g,t	e,n,z15		
Salmonella Makiling	sal	U		43	z29	-		
Salmonella Makiso	sal	C1,4		6,7	l,z13,z28	z6		
Salmonella Makoma (old serotype)	sal	B	II	.1.,4,[5],12,.27.	a	[e,n,x]	o	
Salmonella Makumira (old serotype)	sal	B	II	.1.,4,12,.27.	e,n,x	1,[5],7	o	
Salmonella Malakal	sal	I		16	e,h	1,2		
Salmonella Malawi (old serotype)	sal	66	V	66	z41	-	o	
Salmonella Malaysia	sal	M		28	z10	1,7		
Salmonella Malika	sal	V		44	l,z28	1,5		
Salmonella Malmoe	sal	C2,3		6,8	i	1,7		
Salmonella Malstatt	sal	I		16	b	z6		
Salmonella Mampeza	sal	H		1,6,14,25	i	1,5		
Salmonella Mampong	sal	G1,2		13,22	z35	1,6		
Salmonella Manchester	sal	C2,3		6,8	l,v	1,7		
Salmonella Mandera	sal	I		16	l,z13	e,n,z15		
Salmonella Mango	sal	P		38	k	1,5		
Salmonella Manhattan	sal	C2,3		6,8	d	1,5		
Salmonella Manica (old serotype)	sal	D1	II	.1.,9,12	g,m,[s],t	[1,5,7]:[z42]	o	with Hamburg, Muizenberg
Salmonella Manila (old serotype)	sal	E2		3,.15.	z10	1,5	o	
Salmonella Mannheim	sal	F		11	k	l,w		
Salmonella Manombo (old serotype)	sal	57	II	57	z39	e,n,x,z15	o	
Salmonella Mapo	sal	C2,3		6,8	z10	1,5		
Salmonella Mara	sal	Q		39	e,h	1,5		
Salmonella Maracaibo	sal	F		11	l,v	1,5		
Salmonella Marburg	sal	G1,2		13,23	k	-		
Salmonella Maregrosso (old serotype)	sal	66	V	66	z65	-	o	
Salmonella Maricopa	sal	T		.1.,42	g,z51	1,5		
Salmonella Marienthal	sal	E1		3,10	k	e,n,z15		
Salmonella Marina (old serotype)	sal	Y	IV	48	g,z51	-	o	
Salmonella Maritzburg	sal	V		.1.,44	i	e,n,z15		
Salmonella Maron	sal	E1		3,10	d	z35		
Salmonella Maroua	sal	F		11	z	1,7		
Salmonella Marseille	sal	F		11	a	1,5		
Salmonella Marshall	sal	G1,2		13,22	a	l,z13,z28		
Salmonella Maryland	sal	57		57	b	1,7		
Salmonella Marylebone	sal	D2		9,46	k	1,2		
Salmonella Masembe	sal	E1		3,10	a	e,n,x		
Salmonella Maska	sal	B		.1.,4,12,.27.	z41	e,n,z15		
Salmonella Massakory	sal	O		35	r	l,w		
Salmonella Massenya	sal	B		.1.,4,12,.27.	k	1,5		
Salmonella Matadi	sal	J		17	k	e,n,x		
Salmonella Mathura	sal	D2		9,46	i	e,n,z15		
Salmonella Matopeni	sal	N		30	y	1,2		
Salmonella Matroosfontein (old serotype)	sal	E1	II	3,10	a	e,n,x	o	
Salmonella Mayday	sal	D2		9,46	y	z6		
Salmonella Mbandaka	sal	C1,4		6,7,.14.	z10	e,n,z15		
Salmonella Mbao	sal	U		43	i	1,2		
Salmonella Meekatharra	sal	W		45	a	e,n,z15		
Salmonella Melbourne	sal	T		42	z	e,n,z15		
Salmonella Meleagridis	sal	E1		3,10	e,h	l,w		
Salmonella Memphis	sal	K		18	k	1,5		
Salmonella Menden	sal	C1,4		6,7	z10	1,2		
Salmonella Mendoza	sal	D1		9,12	l,v	1,2		
Salmonella Menhaden (old serotype)	sal	E3		3,.15.,.34.	l,v	1,7	o	
Salmonella Menston	sal	C1,4		6,7	g,s,[t]	[1,6]		
Salmonella Merseyside (old serotype)	sal	I	II	16	g,t	[1,5]	o	
Salmonella Mesbit	sal	X		47	m,t	[e,n,z15]		
Salmonella Meskin	sal	51		51	e,h	1,2		
Salmonella Messina	sal	N		30	d	1,5		
Salmonella Mgulani	sal	P		38	i	1,2		
Salmonella Miami	sal	D1		.1.,9,12	a	1,5		
Salmonella Michigan	sal	J		17	l,v	1,5		
Salmonella Middlesbrough	sal	T		.1.,42	i	z6		
Salmonella Midhurst (old serotype)	sal	53	II	53	l,z28	z39	o	
Salmonella Midway	sal	H		6,14,24	d	1,7		
Salmonella Mikawasima	sal	C1,4		6,7,.14.	y	e,n,z15		
Salmonella Millesi	sal	R		.1.,40	l,v	1,2		
Salmonella Milwaukee	sal	U		43	f,g	-		
Salmonella Mim	sal	G1,2		13,22	a	1,6		
Salmonella Minna	sal	H		1,6,14,25	c	l,w		
Salmonella Minneapolis (old serotype)	sal	E3		3,.15.,.34.	e,h	1,6	o	
Salmonella Minnesota	sal	L		21	b	e,n,x		
Salmonella Mishmarhaemek	sal	G1,2		.1.,13,23	d	1,5		
Salmonella Mission (old serotype)	sal	no					o	Isangi
Salmonella Mississippi	sal	G1,2		.1.,13,23	b	[1,5]		
Salmonella Missouri	sal	F		11	g,s,t	-		
Salmonella Miyazaki	sal	D1		9,12	l,z13	1,7		
Salmonella Mjimwema (old serotype)	sal	D1	II	.1.,9,12	b	e,n,x	o	
Salmonella Mjordan	sal	N		30	i	e,n,z15		
Salmonella Mkamba	sal	C1,4		6,7	l,v	1,6		
Salmonella Mobeni (old serotype)	sal	I	II	16	g,[m],[s],t	[e,n,x]	o	
Salmonella Mocamedes	sal	M		28	d	e,n,x		
Salmonella Moero	sal	M		28	b	1,5		
Salmonella Moers	sal	F		11	m,t	-		
Salmonella Mokola	sal	E1		3,10	y	1,7		
Salmonella Molade	sal	C2,3		8,.20.	z10	z6		
Salmonella Molesey	sal	52		52	b	1,5		
Salmonella Mondeor (old serotype)	sal	Q	II	39	l,z28	e,n,x	o	
Salmonella Mono	sal	B		4,12	l,w	1,5		
Salmonella Mons	sal	B		.1.,4,12,.27.	d	l,w		
Salmonella Monschaui	sal	O		35	m,t	-		
Salmonella Montevideo	sal	C1,4		6,7,.14.	g,m,[p],s	[1,2,7]		
Salmonella Montgomery (old serotype)	sal	F	II	11	a	d:e,n,z15	o	
Salmonella Montreal	sal	U		43	c	1,5		
Salmonella Morehead	sal	N		30	i	1,5		
Salmonella Morillons	sal	M		28	m,t	1,6		
Salmonella Morningside	sal	N		30	c	e,n,z15		
Salmonella Mornington	sal	H		1,6,14,25	y	e,n,z15		
Salmonella Morocco	sal	N		30	l,z13,z28	e,n,z15		
Salmonella Morotai	sal	J		17	l,v	1,2		
Salmonella Moroto	sal	M		28	z10	l,w		
Salmonella Moscow	sal	D1		9,12	g,q	-		
Salmonella Mosselbay (old serotype)	sal	U	II	43	g,m,[s],t	[z42]	o	
Salmonella Moualine	sal	X		47	y	1,6		
Salmonella Moundou	sal	51		51	l,z28	1,5		
Salmonella Mountmagnet	sal	L		21	r	-		
Salmonella Mountpleasant	sal	X		47	z	1,5		
Salmonella Moussoro	sal	H		1,6,14,25	i	e,n,z15		
Salmonella Mowanjum	sal	C2,3		6,8	z	1,5		
Salmonella Mpila (old serotype)	sal	E1	II	3,10	z38	z42	o	
Salmonella Mpouto	sal	I		16	m,t	-		
Salmonella Muenchen	sal	C2,3		6,8	d	1,2		
Salmonella Muenster	sal	E1		3,10	e,h	1,5		
Salmonella Muguga	sal	V		44	m,t	-		
Salmonella Muizenberg (old serotype)	sal	D1	II	.1.,9,12	g,m,[s],t	[1,5,7]:[z42]	o	with Hamburg, Manica
Salmonella Mulhouse	sal	D1		1,9,12	z	1,2		
Salmonella Mundonobo	sal	M		28	d	1,7		
Salmonella Mundsburg (old serotype)	sal	F	IV	11	g,z51	-	o	
Salmonella Mura	sal	B		.1.,4,12	z10	l,w		
Salmonella Nachshonim (old serotype)	sal	G1,2	II	.1.,13,23	z	1,5	o	
Salmonella Naestved	sal	D1		.1.,9,12	g,p,s	-		
Salmonella Nagoya	sal	C2,3		6,8	b	1,5		
Salmonella Nairobi (old serotype)	sal	T	II	42	r	-	o	
Salmonella Nakuru	sal	B		.1.,4,12,.27.	a	z6		
Salmonella Namib (old serotype)	sal	Z	II	50	g,[m],s,t	[1,5]	o	
Salmonella Namibia	sal	C1,4		6,7	c	e,n,x		
Salmonella Namoda	sal	X		47	z10	e,n,z15		
Salmonella Nancy (old serotype)	sal	E2		3,.15.	l,v	1,2	o	
Salmonella Nanergou	sal	C2,3		6,8	g,s,t	-		
Salmonella Nanga	sal	G1,2		.1.,13,23	l,v	e,n,z15		
Salmonella Nantes	sal	D2		9,46	y	l,w		
Salmonella Napoli	sal	D1		.1.,9,12	l,z13	e,n,x		
Salmonella Narashino	sal	C2,3		6,8	a	e,n,x		
Salmonella Nashua	sal	M		28	l,v	e,n,z15		
Salmonella Natal	sal	D1		9,12	z4,z24	-		
Salmonella Naware	sal	I		16	z38	-		
Salmonella Nchanga	sal	E1		3,10	l,v	1,2		
Salmonella Ndjamena	sal	H		1,6,14,25	b	1,2		
Salmonella Ndolo	sal	D1		.1.,9,12	d	1,5		
Salmonella Neasden (old serotype)	sal	D1	II	9,12	g,s,t	e,n,x	o	
Salmonella Neftenbach	sal	B		4,12	z	e,n,x		
Salmonella Negev (old serotype)	sal	S	II	41	z10	1,2	o	
Salmonella Nessa	sal	H		1,6,14,25	z10	1,2		
Salmonella Nessziona	sal	C1,4		6,7	l,z13	1,5		
Salmonella Neudorf	sal	N		30	b	e,n,z15		
Salmonella Neukoelln	sal	C1,4		6,7	l,z13,[z28]	e,n,z15		
Salmonella Neumuenster	sal	B		.1.,4,12,.27.	k	1,6		
Salmonella Neunkirchen	sal	P		38	z10	-		
Salmonella Newbrunswick (old serotype)	sal	E2		3,.15.	l,v	1,7	o	
Salmonella Newhaw (old serotype)	sal	E2		3,.15.	e,h	1,5	o	
Salmonella Newholland	sal	54		4,12,54	m,t	-		
Salmonella Newington (old serotype)	sal	E2		3,.15.	e,h	1,6	o	
Salmonella Newlands	sal	E1		3,10	e,h	e,n,x		
Salmonella Newmexico	sal	D1		9,12	g,z51	1,5		
Salmonella Newport	sal	C2,3		6,8,.20.	e,h	1,2		
Salmonella Newrochelle	sal	E1		3,10	k	l,w		
Salmonella Newyork	sal	G1,2		13,22	g,s,t	-		
Salmonella Ngaparou	sal	D2		9,46	z4,z24	-		
Salmonella Ngili	sal	C1,4		6,7	z10	1,7		
Salmonella Ngor	sal	E4		1,3,19	l,v	1,5		
Salmonella Ngozi (old serotype)	sal	Y	II	48	z10	[1,5]	o	
Salmonella Niakhar	sal	V		44	a	1,5		
Salmonella Niamey	sal	J		17	d	l,w		
Salmonella Niarembe	sal	V		44	a	l,w		
Salmonella Niederoderwitz	sal	U		43	b	-		
Salmonella Nienstedten (old serotype)	sal	C1,4		6,7,.14.	b	l,w	o	
Salmonella Nieukerk	sal	C1,4		6,7,.14.	d	z6		
Salmonella Nigeria	sal	C1,4		6,7	r	1,6		
Salmonella Nijmegen	sal	N		30	y	e,n,z15		
Salmonella Nikolaifleet	sal	I		16	g,m,s	-		
Salmonella Niloese	sal	E4		1,3,19	d	z6		
Salmonella Nima	sal	M		28	y	1,5		
Salmonella Nimes	sal	G1,2		13,22	z35	e,n,z15		
Salmonella Nissii (old serotype)	sal	C1,4					o	Ohio
Salmonella Nitra	sal	A		2,12	g,m	-		
Salmonella Niumi	sal	E4		1,3,19	a	1,5		
Salmonella Njala	sal	P		38	k	e,n,x		
Salmonella Nola	sal	C1,4		6,7	e,h	1,7		
Salmonella Noordhoek (old serotype)	sal	I	II	16	l,w	z6	o	
Salmonella Nordenham (old serotype)	sal	B	II	.1.,4,12,.27.	z	e,n,x	o	
Salmonella Nordrhein	sal	D2		9,46	l,z13,z28	e,n,z15		
Salmonella Nordufer	sal	C2,3		6,8	a	1,7		
Salmonella Norton	sal	C1,4		6,7	i	l,w		
Salmonella Norwich	sal	C1,4		6,7	e,h	1,6		
Salmonella Nottingham	sal	I		16	d	e,n,z15		
Salmonella Nowawes	sal	R		40	z	z6		
Salmonella Noya	sal	C2,3		8	r	1,7		
Salmonella Nuatja	sal	I		16	k	e,n,x		
Salmonella Nuernberg (old serotype)	sal	T	II	42	z	z6	o	
Salmonella Nyanza	sal	F		11	z	z6		
Salmonella Nyborg	sal	E1		3,10	e,h	1,7		
Salmonella Nyeko	sal	I		16	a	1,7		
Salmonella Oakey	sal	C1,4		6,7	m,t	z64		
Salmonella Oakland	sal	C1,4		6,7	z	1,6,[7]		
Salmonella Obogu	sal	C1,4		6,7	z4,z23	1,5		
Salmonella Ochiogu	sal	E4		1,3,19	z38	e,n,z15		
Salmonella Ochsenwerder	sal	54		6,7,54	k	1,5		
Salmonella Ochsenzoll (old serotype)	sal	I	IV	16	z4,z23	-	o	
Salmonella Ockenheim	sal	N		30	l,z13,z28	1,6		
Salmonella Odienne	sal	R		40	y	1,5		
Salmonella Odjik (old serotype)	sal	N	II	30	a	z39	o	
Salmonella Odozi	sal	N		30	k	e,n,[x],z15		
