SEROTYPE	ORGANISM	SEROGROUP	SUBSPECIES	O_ANTIGENS	H_PHASE_1	H_PHASE_2	X997_CHECK	FATE
Salmonella Arusha	sal	U		43	z	e,n,z15		
Salmonella Aschersleben	sal	N		30	b	1,5		
Salmonella Ashanti	sal	M		28	b	1,6		
Salmonella Askraal (old serotype)	sal	51	II	51	l,z28	[z6]	o	
Salmonella Assen	sal	L		21	a	[1,5]		
Salmonella Assinie	sal	E1		3,10	l,w	z6		
Salmonella Asylanta	sal	E1		3,10	c	1,2		
Salmonella Atakpame	sal	C2,3		8,.20.	e,h	1,7		
Salmonella Atento	sal	F		11	b	1,2		
Salmonella Atherton (old serotype)	sal	S					o	Waycross
Salmonella Athinai	sal	C1,4		6,7	i	e,n,z15		
Salmonella Ati	sal	F		11	d	1,2		
Salmonella Atlanta (old serotype)	sal	G1,2					o	Mississippi
Salmonella Atra (old serotype)	sal	Z	II	50	m,t	z6:z42	o	
Salmonella Augustenborg	sal	C1,4		6,7	i	1,2		
Salmonella Austin	sal	C1,4		6,7	a	1,7		
Salmonella Australia	sal	Y		48	l,v	1,5		
Salmonella Avignon	sal	I		16	y	e,n,z15		
Salmonella Avonmouth	sal	E4		1,3,19	i	e,n,z15		
Salmonella Ayinde	sal	B		.1.,4,12,.27.	d	z6		
Salmonella Ayton	sal	B		.1.,4,12,.27.	.,w	z6		
Salmonella Azteca	sal	B		4,[5]12,.27.	l,v	1,5		
Salmonella Babelsberg	sal	M		28	z4,z23	[e,n,z15]		
Salmonella Babili	sal	M		28	z35	1,7		
Salmonella Bacongo (old serotype)	sal	C1,4	II	6,7	z36	z42	o	
Salmonella Badagry	sal	I		16	z10	1,5		
Salmonella Baguida	sal	L		21	z4,z23	-		
Salmonella Baguirmi	sal	N		30	y	e,n,x		
Salmonella Bahati	sal	G1,2		13,22	b	e,n,z15		
Salmonella Bahrenfeld	sal	H		6,14,24	e,h	1,5		
Salmonella Baiboukoum	sal	C1,4		6,7	k	1,7		
Salmonella Baildon	sal	D2		9,46	a	e,n,x		
Salmonella Bakau	sal	M		28	a	1,7		
Salmonella Balboa (old serotype)	sal	Y	V	48	z41	-	o	
Salmonella Balcones	sal	W		45	z36	-		
Salmonella Ball	sal	B		.1.,4,[5],12,.27.	y	e,n,x		
Salmonella Bama	sal	J		17	m,t	-		
Salmonella Bambesa (old serotype)	sal	D1					o	Miami
Salmonella Bamboye	sal	D2		9,46	b	l,w		
Salmonella Bambylor	sal	D2		9,46	z	e,n,z15		
Salmonella Banalia	sal	C2,3		6,8	b	z6		
Salmonella Banana	sal	B		4,[5],12	m,t	[1,5]		
Salmonella Banco	sal	M		28	r,i	1,7		
Salmonella Bandia	sal	O		35	i	l,w		
Salmonella Bangkok	sal	P		38	z4,z24	-		
Salmonella Bangui	sal	D1		9,12	d	e,n,z15		
Salmonella Banjul	sal	H		1,6,14,25	a	e,n,z15		
